75:1.0, NaN, NaN, B3, NaN
75:1.0039060000000006, NaN, C5, NaN, NaN
75:1.5, G5, NaN, C4, NaN
75:1.75, F5, NaN, NaN, NaN
75:2.0, E5, NaN, C4, NaN
75:2.0039060000000006, NaN, F4, NaN, NaN
75:2.5, D5, NaN, F3, NaN
76:0.0, C#5, NaN, F3, G5
76:0.003906000000000631, NaN, E4, NaN, NaN
76:0.5, NaN, NaN, E3, NaN
76:1.0, Rest, NaN, E3, NaN
76:1.0039060000000006, NaN, G4, NaN, NaN
76:1.5, NaN, NaN, E4, A5
76:1.75, NaN, NaN, NaN, G5
76:2.0, Rest, NaN, E4, F#5
76:2.5, NaN, NaN, D4, G5
76:2.5039060000000006, NaN, F4, NaN, NaN
77:0.0, B-5, NaN, D4, B-5
77:0.003906000000000631, NaN, F4, NaN, NaN
77:0.5, NaN, NaN, B3, NaN
77:0.5039060000000006, NaN, D4, NaN, NaN
77:1.0, NaN, NaN, B3, NaN
77:1.0039060000000006, NaN, D4, NaN, NaN
77:1.5, A5, NaN, NaN, NaN
77:1.5039060000000006, NaN, E4, NaN, NaN
77:1.75, G5, NaN, NaN, NaN
77:2.0, F5, NaN, Rest, NaN
77:2.0039060000000006, NaN, E4, NaN, NaN
77:2.25, E5, NaN, NaN, NaN
77:2.5, D5, NaN, NaN, NaN
77:2.5039060000000006, NaN, C5, NaN, NaN
77:2.75, C#5, NaN, NaN, NaN
78:0.0, D5, NaN, Rest, A5
78:0.003906000000000631, NaN, C5, G4, NaN
78:0.25, A4, NaN, NaN, NaN
78:0.5, B-4, NaN, NaN, NaN
78:0.5039060000000006, NaN, C5, NaN, NaN
78:0.75, C#5, NaN, NaN, NaN
78:1.0, D5, NaN, NaN, F3
78:1.0039060000000006, NaN, C5, NaN, NaN
78:1.25, E5, NaN, NaN, NaN
78:1.5, F5, NaN, NaN, NaN
78:1.5039060000000006, NaN, G5, NaN, NaN
78:1.75, E5, NaN, NaN, NaN
78:2.0, D5, NaN, NaN, Rest
78:2.0039060000000006, NaN, G5, NaN, NaN
78:2.25, A4, NaN, NaN, NaN
78:2.5, B-4, NaN, NaN, NaN
78:2.5039060000000006, NaN, F5, NaN, NaN
78:2.75, C#5, NaN, NaN, NaN
79:0.0, D5, NaN, NaN, Rest
79:0.003906000000000631, NaN, F5, D4, NaN
79:0.25, E5, NaN, NaN, NaN
79:0.5, F5, NaN, NaN, NaN
79:0.5039060000000006, NaN, D5, NaN, NaN
79:0.75, E5, NaN, NaN, NaN
79:1.0, D5, NaN, NaN, NaN
79:1.0039060000000006, NaN, D5, NaN, NaN
79:1.25, A4, NaN, NaN, NaN
79:1.5, B4, NaN, NaN, NaN
79:1.75, C#5, NaN, NaN, NaN
79:2.0, D5, NaN, NaN, NaN
79:2.0039060000000006, NaN, Rest, NaN, NaN
79:2.25, E5, NaN, NaN, NaN
79:2.5, F5, NaN, NaN, NaN
79:2.75, E5, NaN, NaN, NaN
