103:0.7578120000000013, NaN, NaN, NaN, C3
103:1.0078120000000013, G5, G3, C4, D3
103:1.2578120000000013, NaN, NaN, NaN, C3
103:1.5078120000000013, NaN, G3, C4, B2
103:1.7578120000000013, NaN, NaN, NaN, C3
103:2.0078120000000013, Rest, G3, C4, D3
103:2.2578120000000013, NaN, NaN, NaN, C3
103:2.5078120000000013, NaN, G3, C4, B2
103:2.7578120000000013, NaN, NaN, NaN, C3
104:0.007812000000001262, F5, G3, C4, C2
104:0.25781200000000126, E5, NaN, NaN, NaN
104:0.5078120000000013, D5, G3, C4, NaN
104:0.7578120000000013, E5, NaN, NaN, NaN
104:1.0078120000000013, F5, G3, C4, Rest
104:1.2578120000000013, E5, NaN, NaN, NaN
104:1.5078120000000013, D5, G3, C4, NaN
104:1.7578120000000013, E5, NaN, NaN, NaN
104:2.0078120000000013, F5, G3, C4, Rest
104:2.2578120000000013, E5, NaN, NaN, NaN
104:2.5078120000000013, D5, G3, C4, NaN
104:2.7578120000000013, E5, NaN, NaN, NaN
105:0.007812000000001262, G5, G3, D4, D3
105:0.25781200000000126, NaN, NaN, NaN, C3
105:0.5078120000000013, NaN, G3, D4, B2
105:0.7578120000000013, NaN, NaN, NaN, C3
105:1.0078120000000013, F5, G3, D4, D3
105:1.2578120000000013, NaN, NaN, NaN, C3
105:1.5078120000000013, NaN, G3, D4, B2
105:1.7578120000000013, NaN, NaN, NaN, C3
105:2.0078120000000013, Rest, G3, D4, D3
105:2.2578120000000013, NaN, NaN, NaN, C3
105:2.5078120000000013, NaN, G3, D4, B2
105:2.7578120000000013, NaN, NaN, NaN, C3
106:0.007812000000001262, C6, G3, D4, C2
106:0.25781200000000126, B5, NaN, NaN, NaN
106:0.5078120000000013, A5, G3, D4, NaN
106:0.7578120000000013, B5, NaN, NaN, NaN
106:1.0078120000000013, C6, G3, D4, Rest
106:1.2578120000000013, B5, NaN, NaN, NaN
106:1.5078120000000013, A5, G3, D4, NaN
106:1.7578120000000013, B5, NaN, NaN, NaN
106:2.0078120000000013, C6, G3, D4, Rest
106:2.2578120000000013, B5, NaN, NaN, NaN
106:2.5078120000000013, A5, G3, D4, NaN
106:2.7578120000000013, B5, NaN, NaN, NaN
107:0.007812000000001262, C6, G3, C4, C3
107:0.25781200000000126, E6, NaN, NaN, NaN
107:0.5078120000000013, D6, NaN, NaN, NaN
107:0.7578120000000013, C6, NaN, NaN, NaN
107:1.0078120000000013, B5, G3, G3, C3
107:1.2578120000000013, A5, NaN, NaN, NaN
107:1.5078120000000013, G5, NaN, NaN, NaN
107:1.7578120000000013, F5, NaN, NaN, NaN
107:2.0078120000000013, E5, Rest, Rest, Rest
107:2.2578120000000013, C6, NaN, NaN, NaN
107:2.5078120000000013, B5, NaN, NaN, NaN
107:2.7578120000000013, A5, NaN, NaN, NaN
108:0.007812000000001262, G5, Rest, Rest, Rest
108:0.25781200000000126, F5, NaN, NaN, NaN
108:0.5078120000000013, E5, NaN, NaN, NaN
108:0.7578120000000013, D5, NaN, NaN, NaN
